,Unnamed: 0,drug,title,year,Treatment,Treatment.1,Treatment_multiple_words,Unnamed: 7,sentence,label,annotation_expert_2,Comparison_1_vs_2,annotation_expert_3,annotation_expert_4,Unnamed: 14,BioBERT_Prediction
10,20167,palivizumab,Viral outbreaks in neonatal intensive care units: What we do not know,2013.0,,,,,"""Change in antibiotic therapy"" in case of viral infections assume a different significance and importance, meaning the suspension of antibiotic therapy after the confirmation of the viral source of infection or, in most cases, the switch to antiviral agents or palivizumab for respiratory syncytial virus outbreaks",,,0,,,,0.45041218400001526
11,12509,tamiflu,Talking to the public about a pandemic: some applications of the WHO outbreak communication guidelines.,2005.0,,,,,"""We're trying to explain to parents that avian flu is really not a concern at this point for their children,"" a Maryland pediatrician told Bloomberg News in December 2005, explaining her refusal to prescribe Tamiflu.",,,0,,,,0.9136146903038025
12,5494,erythropoietin,The 2–5 A system: Modulation of viral and cellular processes through acceleration of RNA degradation,1998.0,,,,,"( 198 1, 1984a ) discovered that rat bone marrow cell cultures were inhibited in their ability to respond to erythropoietin induction of red cell formation when they were treated with 2-5A tetramer core (A~'P~'A~'P~A~'P~'A) at a concentration of 10-4 M",,,0,,,,0.9214913845062256
13,22215,c1-inh,Hereditary and acquired angioedema: Problems and progress: Proceedings of the third C1 esterase inhibitor deficiency workshop and beyond,2004.0,,,,,"(1) Proven C1-INH deficiency (2) Prophylactic therapy optimal (3) Required infusions of C1-INH concentrate at least every 3 months (4) Infusion partner available (5) Commitment to program Of 34 patients considered for the program, 4 patients from the same family were already self-administering (under the care of their general practitioner) and received a refresher course",,,0,,,,0.0031705559231340885
14,154,cabergoline,Small Animal Reproduction: scientific facts versus dogmas or unverified beliefs.,2020.0,,,,,"(10) had observed a pregnant queen which, after being treated with the dopamine agonist cabergoline, was able to maintain her pregnancy with a plasma progesterone concentration below 1 ng/mL for more than 7 days",,,0,,,,0.8798895478248596
15,10278,cortisone,In vitro macrophage manifestation of cortisone-induced decrease in resistance to mouse hepatitis virus,1981.0,,,,,(10) on how cortisone is able to suppress immune responses begins to explain the well known ability of cortisone to suppress antibody and T cell response,,,0,,,,0.9697208404541016
16,21609,cortisone,Chapter 9 Viral Diseases of the Digestive System,1982.0,,,,,(1964) showed that macrophages from genetically resistant mice treated with cortisone to enhance susceptibility behave in culture as if they were from susceptible animals.,,,0,,,,0.9705891609191895
17,8876,prednisolone,Treatment of cats with feline infectious peritonitis,2008.0,,,,,"(1968) treated a cat suspected to have feline infectious peritonitis (FIP) with prednisolone, penicillin, and dihydrostreptomycin, and the cat remained alert",,,0,,,,0.00347562856040895
18,10240,amantadine,Chapter 7 Orthomyxovirus infections,1985.0,,,,,"(1970) amantadine hydrochloride was administered orally in two separate doses of 120 mg/kg (higher dose group) and 40 mg/kg once a day for 6 successive days from the 9th to the 14th day of pregnancy to nullipara rats of Wistar strain at the age of 3-4 months, in order to examine its effects upon the foetus during the final stage of pregnancy and their postnatal growths",,,0,,,,0.6272385716438293
19,14307,trypsin,Rotavirus infections associated with diarrhoea in calves in Egypt,1981.0,,,,,"(1977) was used, in which the virus isolation from faeces was achieved by treating a 1/10 dilution of faeces with 100 ~g of trypsin/ml at 37~ for 15 minutes",,,0,,,,0.32860273122787476
20,8873,melphalan,Treatment of cats with feline infectious peritonitis,2008.0,,,,,"(1978) treated a cat with melphalan, an alkylating agent of the nitrogen mustard group that irreversibly interacts with DNA",,,0,,,,0.055707089602947235
21,7225,aspirin,VII Digestive System 1,2000.0,,,,,(1982) showed that extravasation of red blood cells and greater vascular damage was observed in rats treated with aspirin or benoxprofen than in pigs given similar doses,,,0,,,,0.9489400386810303
22,11430,amantadine,Chapter 9 Fusion of Viral Envelopes with Cellular Membranes,1988.0,,,,,"(1985) selected mutant viruses with altering pH dependence by growing virus in cells treated with amantadine chloride, which raises the endosomal pH",,,0,,,,0.9264896512031555
23,8783,glutamine,Signals for ribosomal frameshifting in the rous sarcoma virus gag-pol region,1988.0,,,,,(1985a) first showed by direct amino acid sequencing that the termination codon separating the murine leukemiavirus (MLV) gag and pal genes is efficiently suppressed by a glutamine-charged tRNA,,,0,,,,0.08945082873106003
24,7109,itraconazole,14 Infectious Diseases,2016.0,,,,,"(1990) satisfactorily treated candidiasis of the uropygial gland of penguins by feeding them fish containing itraconazole (Sporanox, Janssen Pharmaceuticals) at a dosage rate of 10 mg/kg/day for 20 days",,,0,,,,0.06207021698355675
25,18311,aspirin,A new pharyngitis model using capsaicin in rats,1998.0,,,,,(1993) that indomethacin (10 mg/kg orally) and aspirin (200 mg/kg orally) did not suppress capsaicin-induced mouse ear edema,,,0,,,,0.6243411898612976
26,8875,ribavirin,Treatment of cats with feline infectious peritonitis,2008.0,,,,,"(1993b) administered the antiviral drug ribavirin (16.5 mg/kg for 24 h for 10-14 days orally, intramuscularly, or intravenously) to specific pathogenfree (SPF) kittens 18 h after experimental challenge exposure with a FIP-causing virus",,,0,,,,0.00682724267244339
27,14110,enrofloxacin,Chapter 9 Biology and Diseases of Rabbits,2002.0,,,,,(1996) were able to derive Pasteurella-free rabbits by treating pregnant does with enrofloxacin past kindling,,,0,,,,0.0028249716851860285
28,11761,vancomycin,Chapter 4 Biology and Diseases of Rats,2002.0,,,,,"(1997) recommend passage of cecal contents through a 0.65-ktm filter, then culture on Brucella agar with antibiotics (trimethoprim, vancomycin, polymyxin) to suppress growth of unwanted organisms that are not removed by the filter (Fox and Lee, 1997) .",,,0,,,,0.8488944172859192
29,4992,melatonin,Chapter 12 Environmental and Equipment Monitoring,2007.0,,,,,(1999) compared the effect of LED and cool white fluorescent light of equal intensity on suppression of pineal gland melatonin in male Sprague Dawley rats,,,0,,,,0.9700503945350647
30,3938,chlorpromazine,The key molecular events during Macrobrachium rosenbergii nodavirus (MrNV) infection and replication in Sf9 insect cells,2016.0,,,,,(2) incubated with MrNV inoculum on ice for 1 h in culture medium; (3) pretreated with 200 M genistein for 30 min before incubation with MrNV inoculum; (4) pretreated with 200 M genistein for 30 min before co-incubation with the 30 nM okadaic acid (CAV1 agonist) + MrNV inoculum 30 min-2 h; (5) treated with 30 nM okadaic and MrNV inoculum; and (6) treated with 40 M chlorpromazine (CLA inhibitor) or 50 g/ml transferrin (CLA agonist) for 30 min followed by addition of MrNV inoculum,,,0,,,,0.8953002691268921
31,19792,progesterone,Replacement Management in Cattle | Breeding Standards and Pregnancy Management,2011.0,,,,,"(2) Intravaginal insertion of a progesterone-releasing insert (progesterone-releasing intravaginal device (PRID) or controlled internal drug release (CIDR) insert) for 5 or 7 days with PGF 2 injection administered at insert removal; or injection of GnRH at insert placement, injection of PGF 2 at insert removal, followed by second injection of GnRH given 48-56 h after PGF 2 with one TAI 12-20 h later",,,0,,,,0.030173569917678833
32,19295,amylopectin,Abstracts of Papers Submitted to the American Gastroenterological Association,1972.0,,,,,"(2) Of the 85 patients on propantheline therapy, good results were observed in 60, and poor results in 25 (2~1o); (3) Of the 70 patients on amylopectin sulfate therapy, good results were observed in 58 and poor results in 12 (lrlo); and (4) Of the 52 patients on combined propantheline and amylopectin sulfate, good results were observed in 43, and poor results in 9 (lrlo)",,,0,,,,0.17299365997314453
33,1999,sertraline,Extending SemRep to the Public Health Domain,2013.0,,,,,"(2) Sertraline TREATS Stress Disorders, Post-Traumatic (Predication)",,,0,,,,0.06523769348859787
34,9274,lamivudine,"Recombination in viruses: Mechanisms, methods of study, and evolutionary consequences",2015.0,,,,,(2000) found that differences in the rate of evolution of lamivudine resistance between infected individuals arose through genetic drift affecting the relative frequency of different genetic variants prior to therapy,,,0,,,,0.9651846289634705
35,20626,amantadine,,,,,,,(2002) have used a highly neurovirulent recombinant R404BP strain of influenza A (H1N1) virus to test amantadine therapy in mice,,,0,,,,0.08071400970220566
36,11290,glycyrrhizin,Antiviral effects on bacteriophages and rotavirus by cranberry juice,2007.0,,,,,"(2003) reported that glycyrrhizin, a component of licorice roots, inhibited the in vivo replication of the severe acute respiratory syndrome (SARS)associated corona virus and alluded to the use of glycyrrhizin as a possible therapeutic agent",,,0,,,,0.8333719372749329
37,5611,testosterone,Cordyceps – A traditional Chinese medicine and another fungal therapeutic biofactory?,2008.0,suppress,,,suppress,"(2003b) demonstrated in a convincing study, that CS mycelium regulates mouse cell testosterone production and may suppress stimulated testosterone production via P450 scc enzyme activity",,0,1,,,,0.9888128638267517
38,16055,nelfinavir,Development of antiviral therapy for severe acute respiratory syndrome,2005.0,,,,,(2004) demonstrated that nelfinavir inhibits the replication of SARS-CoV in Vero E6 cells at nanomolar concentration which are easily achievable in plasma of treated patients,,,0,,,,0.05283240228891373
39,9852,tamoxifen,The ADAM metalloproteinases,2008.0,,,,,"(2005) High ADAM9 levels predict higher efficacy of tamoxifen therapy in ER+ breast cancers Sieuwerts et al., 2005 Overexpression in non-small cell lung cancer linked to brain metastasis Shintani et al",,,0,,,,0.05210578441619873
40,6659,benzoate,Integrity of mating behaviors and seasonal reproduction in coyotes (Canis latrans) following treatment with estradiol benzoate,2010.0,,,,,"(2006) also reported cases of spontaneous abortion, prolonged gestation, and reduced litter sizes in domestic dogs treated with estradiol benzoate (EB)",,,0,,,,0.9877588152885437
41,1825,sitagliptin,Downregulation of Signaling-active IGF-1 by Dipeptidyl Peptidase IV (DPP-IV),2010.0,,,,,(2006) reported no significant change in circulating IGF-1 levels when the DPP-IV inhibitor sitagliptin was administered to pigs for three days (44),,,0,,,,0.011940344236791134
42,12890,atazanavir,,,,,,,"(2007) , as the >6 log 10 HIV-1 RNA log drop seen following NVP018 dosing was more pronounced than for approved therapies such as efavirenz, atazanavir, emtricitabine, and nevirapine, which showed 1-4 log 10 viral RNA reductions after 21 days' bidaily dosing at 100 mg/kg.",,,0,,,,0.008267495781183243
43,22607,creatine,Strategies for Pharmacological Organoprotection during Extracorporeal Circulation Targeting Ischemia-Reperfusion Injury,2015.0,,,,,"(2007) demonstrated that not only biochemical parameters were significantly lower (i.e., creatine kinase, lipid peroxide) in hearts treated with taurine but also heart function itself was significantly improved (i.e., left ventricular systolic and diastolic pressure, rate of pressure increase and decrease)",,,0,,,,0.9047460556030273
44,22610,cyclosporine,Strategies for Pharmacological Organoprotection during Extracorporeal Circulation Targeting Ischemia-Reperfusion Injury,2015.0,,,,,(2008) described a reduced infarct size in patients with acute myocardial infarction who were treated with cyclosporine before PCI,,,0,,,,0.07492336630821228
45,927,lecithin,Chapter 2 Nanostructuring Biopolymers for Improved Food Quality and Safety,2018.0,,,,,"(2008) reported on the structural characterization of soybean lecithin/chitosan nanoparticles loaded with a lipophilic positively charged drug used in breast cancer therapy by combining cryo-TEM, static light scattering, and SAXS and SANS techniques",,,0,,,,0.04770069569349289
46,8823,indomethacin,Chapter 4 Emergence in the functionalized carbon nanotubes as smart nanocarriers for drug delivery applications,2018.0,,,,,"(2012) prepared the membrane-coated drug delivery tablets, employing carboxyl functionalized MWCNTs for sustained therapeutic action of indomethacin.",,,0,,,,0.0023221636656671762
47,453,alcohol,Chapter 21 In Silico Models From Simple Networks to Complex Diseases,2014.0,,,,,(2012) showed how the in silico model of alcohol dependence can provide virtual clues for classifying the physiology and behavior of patients so that personalized therapy can be developed.,,,0,,,,0.2602846622467041
48,22608,cyclosporine,Strategies for Pharmacological Organoprotection during Extracorporeal Circulation Targeting Ischemia-Reperfusion Injury,2015.0,,,,,"(2014) reported on reduced troponin T levels in patients undergoing CPB, who were treated with cyclosporine prior to bypass",,,0,,,,0.02345236763358116
49,4006,fluorouracil,Targeting cancer stem cells with dietary phytochemical - Repositioned drug combinations,2018.0,,,,,"(2014) reported that curcumin sensitized colorectal CSCs towards fluorouracil (5-FU) and suppressed the crosstalk between CSCs and stromal fibroblasts in the tumor niche, using co-culture and assaying EMT markers by immunoblotting [50] .",,,0,,,,0.7783015966415405
50,11688,ribavirin,Middle East Respiratory Syndrome Coronavirus “MERS-CoV”: Current Knowledge Gaps,2015.0,,,,,"(2014) showed that in patients with severe MERS-CoV infection, ribavirin and interferon alfa-2a therapy are significantly associated with improved survival at 14 days, but not at 28 days [58] ",,,0,,,,0.005594509653747082
51,23500,acetone,"Inhibition of RNA Helicases of ssRNA(+) Virus Belonging to Flaviviridae, Coronaviridae and Picornaviridae Families",2010.0,therapies,,,"treat, treatment, therapeutic, effect, therapies, therapeutic","(3) DEAE-cellulose chromatography using triethylammonium bicarbonate (TEAB) buffer (4) NaI, acetone This emphasizes that new therapies are clearly needed, since for the treatment of this infection, and generally for diseases caused by viruses belonging to the Flaviviridae family, therapeutic strategies really effective and selective are not available.",,,0,,,,0.008473709225654602
52,22042,epoprostenol,Long-term Survival in Patients with Severe Acute Respiratory Distress Syndrome and Rescue Therapies for Refractory Hypoxemia,2014.0,,,,,"(3) In clinical practice, as an effort to improve oxygenation in these patients, several different ""rescue therapies"" are often used, including inhaled nitric oxide, inhaled epoprostenol and prone position ventilation",,,0,,,,0.0012835358502343297
53,2230,lidocaine,"I, 3. The enteric nervous system and infectious diarrhea",2003.0,,,,,"(3) Lidocaine (local anesthetic) administered luminally or on the serosal surface reverses cholera secretion to fluid absorption and attenuates the increased PD (Cassuto et al., 1981a (Cassuto et al., , 1983 Tantisira et al., 1990) ",,,0,,,,0.8431245684623718
54,1848,trypsin,"Rational monoclonal antibody development to emerging pathogens, biothreat agents and agents of foreign animal disease: The antigen scale",2005.0,,,,,"(4) Western immunoblot of anthrax toxins with mAbs (a) F20G6 and (b) F20M1; PA, anthrax protective antigen; PA + T, trypsin treated PA toxin (J.D.B",,,0,,,,0.2169586718082428
55,6814,digoxin,RESPIRATORY SYNCYTIAL AND OTHER VIRUSES ASSOCIATED WITH RESPIRATORY DISEASE IN INFANTS,1971.0,,,,,(6) Digoxin therapy or heart-rate of 170 or more per minute,,,0,,,,0.007942975498735905
56,4278,azithromycin,Advances in Developing Therapies to Combat Zika Virus: Current Knowledge and Future Perspectives,2017.0,,,,,"(7) Repurposed drugs like Chloroquine, azithromycin, niclosomide are used to treat ZIKV infection",,,0,,,,0.006046654190868139
57,8934,amiloride,Porcine sapelovirus enters PK-15 cells via caveolae-dependent endocytosis and requires Rab7 and Rab11,2019.0,,,,,(A and B) Immunoblotting of cells infected with PSV after treated with different concentrations of amiloride (EIPA) or wortmannin using anti-VP1 and anti-α-tubulin antibodies,,,0,,,,0.03920244425535202
58,17551,celecoxib,Activation of COX-2/PGE(2) Promotes Sapovirus Replication via the Inhibition of Nitric Oxide Production,2017.0,,,,,"(A to D) LLC-PK cells were treated with selective COX-2 inhibitors (NS398 and celecoxib), a nonselective COX inhibitor (indomethacin), and a selective COX-1 inhibitor (SC-560) as indicated prior to the addition of the virus inoculum (MOI ϭ 1 FFU/cell), and then the inhibitor(s) was removed (Pre); after the addition of the virus inoculum, and then the inhibitor(s) was left for the duration of the infection (Post); or prior to the addition of the inoculum, as well as for the duration of the infection (Pre-Post)",,,0,,,,0.8623986840248108
59,19788,tetracycline,The Lymphocytic Choriomeningitis Virus Matrix Protein PPXY Late Domain Drives the Production of Defective Interfering Particles,2016.0,,,,,"(A-C) T-Rex HEK293 cells stably transduced with vectors for tetracycline-based induction of WT vacuolar protein sorting 4A (VPS4A) or the DN VPS4A mutant, EQ, were infected with rLCMV WT and 2 d later treated with tetracycline to induce the expression of WT or DN VPS4A",,,0,,,,0.37812820076942444
60,6518,acetate,Antiviral Decoction of Isatidis Radix (板藍根 bǎn lán gēn) Inhibited Influenza Virus Adsorption on MDCK Cells by Cytoprotective Activity,2012.0,treated,,,"treat, treatment, treated","(a) ""Protecting mode: with RIE pre-treatment"", cells were incubated with viruses at 4℃ , magnified ×5000; (b) ""'Control: without RIE pre-treatment"", cells were incubated with viruses at 4℃ , magnified ×5000; Cells were fixed with Karnovsky's fixative, post-fixed with 1% OsO 4 for 45 min, dehydrated in ethanol, treated with isoamyl acetate and dried to a critical point with HCP-2",,,0,,,,0.21425412595272064
61,18384,acetate,Processing tissue and cells for transmission electron microscopy in diagnostic pathology and research,2007.0,treat,,,treat,"(A) En bloc uranyl acetate (the most common method) (i) After osmium tetroxide post-fixation and buffer washes, treat cells or tissue for 2 Â 5 min with 50% ethanol",,,0,,,,0.01062613446265459
62,9504,serine,The Hemagglutinin of Bat-Associated Influenza Viruses Is Activated by TMPRSS2 for pH-Dependent Entry into Bat but Not Human Cells,2016.0,,,,,(A) HEK-293T cells were transfected with plasmids encoding HA or HAL proteins and either trypsin treated or cotransfected with plasmids encoding type II transmembrane serine proteases,,,0,,,,0.31112319231033325
63,3703,doxycycline,,,,,,,"(a) HeLa Flp-In™ T-REx™ cell lines stably expressing TARG1 wildtype (WT), TARG1-G123E (G123E) or an empty vector control were treated with 500 ng/ml doxycycline for the indicated time points to induce transgene expression",,,0,,,,0.03921234980225563
64,22639,aprepitant,Neurokinin-1 enables measles virus trans-synaptic spread in neurons,2007.0,,,,,"(A) Mice were infected as described and administered aprepitant orally one day prior to infection (double dose), one day after infection, and every other day thereafter",,,0,,,,0.004859752953052521
65,3197,azithromycin,Guideline for Antibiotic Use in Adults with Community-acquired Pneumonia,2018.0,,,,,(a) β-lactam + azithromycin or (b) β-lactam + fluoroquinolone combination therapy is performed,,,0,,,,0.05125720426440239
66,22764,trypsin,Coordinate induction of IFN-α and -γ by SARS-CoV also in the absence of virus replication,2005.0,,,,,"(b and c) Infectivity (b) and viral RNA (positive and negative strand), (c) in PBMC infected at MOI 10, treated with trypsin after the adsorbtion phase",,,0,,,,0.6346105337142944
67,17492,mitomycin,Phenotypic and functional characterization of the major lymphocyte populations in the fruit-eating bat Pteropus alecto,2016.0,,,,,"(b) Allogeneic Mixed Lymphocyte Reaction (MLR), ""stimulator cells"" (prepared form one bat spleen) were treated with Mitomycin C and were then co-cultured for 5 days with Cell Trace Violet-labeled ""responder cells"" (prepared from another bat spleen) (red) or were cultured alone in media (grey)",,,0,,,,0.7277448773384094
68,22916,clomiphene,Ebola hemorrhagic fever: Properties of the pathogen and development of vaccines and chemotherapeutic agents,2015.0,,,,,"(b) Estrogen receptor inhibitor clomiphene, which suppresses the endosomal stage of infection [70, 71] ",,,0,,,,0.8296721577644348
69,3479,thalidomide,The potential use of thalidomide in the therapy of graft-versus-host disease—A review of clinical and laboratory information,1990.0,,,,,"(b) In contrast to other immunosuppressants, thalidomide appears to act in a permanent way: GVHD is controlled after therapy has been stopped.",,,0,,,,0.037950299680233
70,13324,methionine,Regulation of Programmed Ribosomal Frameshifting by Co-Translational Refolding RNA Hairpins,2013.0,,,,,(B) In vitro -1 PRF assays by SDS-PAGE analysis of 35 S methionine-labeled translation products for reporter constructs in (A) (left) and the relative frameshifting activity calculated by treating that of construct 13390-13520 as 100% (right),,,0,,,,0.007863430306315422
71,13511,chymotrypsin,Specific Single or Double Proline Substitutions in the “Spring-loaded” Coiled-Coil Region of the Influenza Hemagglutinin Impair or Abolish Membrane Fusion Activity,1998.0,,,,,(B) Proteolytic processing: Cells transfected with plasmids encoding wt-and mutant HAs were grown in the presence of dMM and treated with either 5 g/ml chymotrypsin (Ϫ) or trypsin (ϩ) for 6 min at RT,,,0,,,,0.061188723891973495
72,16829,cholesterol,"Arenavirus Entry Occurs Through a Cholesterol-Dependent, Non-Caveolar, Clathrin-Mediated Endocytic Mechanism",2007.0,,,,,"(B) Vero cells treated with MβCD, or treated with MβCD, followed by cholesterol reconstitution",,,0,,,,0.008577951230108738
73,5154,doxycycline,Selective Degradation of Host RNA Polymerase II Transcripts by Influenza A Virus PA-X Host Shutoff Protein,2016.0,,,,,"(C-E) HEK 293T shXrn1 or shNS cells were treated with doxycycline (+dox) for four days to induce shRNAs against Xrn1 or non-specific control shRNAs (shNS), or were left untreated (-dox)",,,0,,,,0.011669805273413658
74,3704,doxycycline,,,,,,,"(c-f) HeLa Flp-In™ T-REx™ cells inducibly expressing TARG1 (c), -G123E (d), shOARD1 (e) or shCtrl (f) were or were not treated with 500 ng/ml doxycycline (Dox) for 72 h to induce transgene expression or OARD1 knock-down before seeding onto 96 well-plates",,,0,,,,0.3853711783885956
75,14562,tetracycline,Antiviral Innate Immune Response Interferes with the Formation of Replication-Associated Membrane Structures Induced by a Positive-Strand RNA Virus,2016.0,,,,,(C) Immunofluorescence microscopy of HuH-7/tetR/HA-nsp2-3GFP cells treated with tetracycline for 24 h to induce expression,,,0,,,,0.5262797474861145
76,10258,chloroquine,Doxycycline Induces Mitophagy and Suppresses Production of Interferon-β in IPEC-J2 Cells,2017.0,,,,,(C) IPEC-J2 cells were treated with DOX for 24 h or with CCCP + chloroquine (CQ) as a positive control,,,0,,,,0.0694836750626564
77,9614,infliximab,Antibody Derived Peptides for Detection of Ebola Virus Glycoprotein,2015.0,,,,,(C) Negative control experiments consisted of the use of Infliximab (anti-rheumatoid arthritis therapeutic mAb; black mAb with pink variable regions) instead of an anti-GP mAb or fragment,,,0,,,,0.014556343667209148
78,3838,tetracycline,,,,,,,"(C) PLZF-inducible U937T cells were treated with IFNα for 6, 16 and 24 h in the presence and absence of PLZF expression (24 h tetracycline withdrawal) and RNA samples analyzed for ISG expression",,,0,,,,0.2342197149991989
79,17373,raltegravir,A Functional Role for ADAM10 in Human Immunodeficiency Virus Type-1 Replication,2011.0,,,,,"(D) 2-LTR circle formation in ADAM10 down-regulated macrophages was significantly less than that seen in macrophages treated with the integrase inhibitor raltegravir, and was similar to infected but untreated cells",,,0,,,,0.10115491598844528
