,sentence,preds,real
981,"19 These are * Actimmune (IFN-g1b), launched for the treatment of infections in patients with chronic granulomatous disease * Alteplase (recombinant tissue plasminogen activator, marketed in the US in 1987 for the treatment of acute myocardial infarction, in 1990 for use in the treatment of acute pulmonary embolism, and in June 1996 for the treatment of acute ischemic stroke within 3 h of symptom onset) * Bevacizumab (intravenously administered antivascular endothelial growth factor monoclonal antibody), an antiangiogenesis therapy for the treatment of colorectal cancer * Dornase alfa, a DNase which has been developed and launched for the treatment of cystic fibrosis * Efalizumab, a humanized anti-CD11a monoclonal antibody as a once-weekly subcutaneous formulation, for the treatment of moderate-to-severe plaque psoriasis * Kogenate, a recombinant human factor VIII preparation used for treating hemophiliacs * Omalizumab, an anti-IgE humanized monoclonal antibody for the treatment of asthma * Recombinant somatotropin, first launched in 1987 for the treatment of growth hormone deficiency in children, children with chronic renal insufficiency, and children with short stature associated with Turner's syndrome * Tenecteplase, an injectable, slower-clearing, fibrin-specific tissue plasminogen activator for the treatment of myocardial infarction, first launched in the US in June 2000 and in 2001 in the EU * Trastuzumab, a humanized version of the anti-HER-2/neu monoclonal antibody, 4D5, and marketed for the treatment of metastatic breast cancer since 1998 * Roferon-A, a recombinant interferon-a 2a that has been developed and used for the treatment of various lymphomas, leukemias, and other neoplasms, and for the treatment of chronic hepatitis B and C virus (HBV and HCV) infections * Ituximab, a mouse/human chimeric anti-CD20 monoclonal antibody, used for the treatment of B-cell nonHodgkin's lymphoma, including relapsed, refractory low-grade, or follicular lymphomas The Role of Small-or Medium-Sized Enterprises in Drug Discovery * Erlotinib (1), a small-molecule, orally active epidermal growth factor receptor tyrosine kinase inhibitor (discovered by but relinquished by Pfizer after the merger with Warner-Lambert), for the treatment of nonsmall-cell lung cancer.",0.24918394,0
1355,"31 tiofur (10 mg/kg, IV, q 12 h) and amikacin (21 mg/kg, IV,  q 24 h) were administered to provide broad-spectrum antimicrobial coverage with potent Gram-negative efficacy",0.0021707295,0
1432,"36, 37 Ivermectin is effective in treating Strongyloides westeri infestations",0.001648235,0
1506,"40 We have no direct action antiviral treatment or any treatment that may limit its transmission; fever can be treated with acetaminophen to start with, and NSAIDs can be reserved for patients with joint involvement, provided dengue had been ruled out, otherwise the risk of bleeding may be enhanced.",0.9727083,0
1641,"5 For contraception in females, melengestrol acetate (2-3 mg/kg/ day) administered in the feed, or the progesterone-derivative medroxyprogesterone acetate (Depo-Provera, Pfizer Animal Health), (450-800 mg/female, every 6 weeks) have been the traditional pharmaceutical means of contraception; however, the gonadotropinreleasing hormone (GnRH) agonist deslorelin (Suprelorin, Peptech Animal Health/Virbac) administered as implants has recently proven to be superior and effective for more than a year",0.035186734,0
1694,"52 At the moment, the effects of other environmental exposures on the development of asthma remain controversial with respect to planning interventions, including the use of acetaminophen to treat fevers in young children, early childhood vaccines, and exposure to parasitic infections",0.0025004072,0
1695,"52 At the moment, the effects of other environmental exposures on the development of asthma remain controversial with respect to planning interventions, including the use of acetaminophen to treat fevers of young children, early childhood vaccines, and exposure to parasitic infections",0.0027426013,0
1730,54 Interstitial pneumonia also was described with some frequency in feedlot heifers fed melengestrol acetate to suppress estrus,0.00166037,1
1824,"60, 61 When present, anterior uveitis should be treated with a topical GC, such as 1 per cent prednisolone acetate, and atropine",0.001933671,0
1856,"63 Sofosbuvir is the first NS5B NPI available in the United States and has become the backbone of HCV therapy given its high barrier to resistance, pangenotypic activity, and favorable pharmacologic profile",0.0022537422,0
1961,"72 On the other hand, abciximab (ReoPro), a chimeric Fab fragment of a monoclonal antibody with high affinity for the GP IIb/IIIa receptor, was found to suppress the usual rise in levels of circulating infl ammatory markers following percutaneous transluminal coronary angioplasty",0.0037520295,0
2020,"8 According to the findings in our study, we recommend that moderate doses of oral prednisolone supplemented with oral acetaminophen be considered as first-line therapy in the treatment of acute gout.",0.0019242376,0
2133,"94, 95 One individual who survived without post-exposure prophylaxis did so after the administration of an aggressive combination of medical treatments including the induction of a therapeutic coma, combined with ribavirin, ketamine, and amantadine treatment",0.97762513,0
2136,"95, 96, 99 Acetate, propionate, and butyrate inhibit the growth of Salmonella, even in concentrations as low as 20 mmol/L 95,96 that are frequently found in ORT solutions administered to diarrheic calves",0.0031109361,0
2160,"A 1993 parallel-group study found evidence of suppressed short-term lower-leg growth, as measured by knemometry, with BUD (200 μg BID) or intramuscular methylprednisolone acetate (60 mg QD) when compared to terfenadine tablets (60 mg QD) in 44 children (aged 6-15 years) with AR",0.0062856656,1
2182,A blood sample for PCR was obtained prior to oxytetracycline therapy,0.001549968,0
2514,A statistical analysis to predict persistence of canine sinonasal aspergillosis at endoscopic follow-up by comparing three different scoring systems: a retrospective study of 47 cases treated with one hour 1% clotrimazole per-endoscopic infusion and undergoing endoscopic follow-up The aim of this study was to investigate three different scoring system for Canine Sinonasal Aspergillosis (CSA) in order to predict whether they can indicate persistence of CSA at endoscopic follow-up.,0.02027368,0
2573,A total of nine dogs (33%) were treated concurrently with terbinafine,0.0015572195,0
2639,Abraxane ® is another commercially successful product for the targeted cancer therapy,0.0016430761,0
2641,Acarbose may be used in diabetic animals whose glucose concentration is poorly controlled despite insulin therapy and dietary modification,0.0017696037,0
2703,"Acetaminophen also was prescribed more frequently for cases than controls, particularly when taken for at least 3 consecutive days (Table III) .",0.001535891,0
2706,"Acetaminophen, ketorolac, levofloxacin and normal saline were administered.",0.0016186247,0
2788,"Addition of tocilizumab (IL-6R blockade) or abatacept (CTLA4-Ig, which blocks CD80/CD86-mediated co-stimulation), both of which are biologic drugs routinely used in the clinic to treat rheumatoid arthritis, did not increase IL-10 + frequencies in CD4 + T cells, IL-17 + , IFNγ + , or TNFα + CD4 + T cell subpopulations (Figure 4B) ",0.9819474,0
2847,"Adenomatous polyps have also been reported in the pyloric antrum of C57Bl/ 10J mice treated for 52 weeks with the synthetic progestin, cyproterone acetate (Tucker et al., 1996) ",0.002318864,1
2866,"Adjuvant drugs to enhance analgesic efficacy, treat concurrent symptoms that exacerbate pain, and provide independent analgesic activity for specific types of pain may be used at any step: ■ Step 1, for mild to moderate pain, involves the use of paracetamol/ acetaminophen, aspirin, or another NSAID ■ Step 2, when pain persists or increases, advises that an opioid such as codeine or hydrocodone should be added (not substituted) to the analgesic regimen",0.9302191,0
2878,"Administer acepromazine (0.02 to 0.05 mg/kg IV) or chlorpromazine (0.2 to 0.5 mg/kg IM q8h, 0.05 mg/ kg IV q4h) to control agitation",0.002605862,0
3012,"Administer the anxiolytic tranquilizer acepromazine (0.02 to 0.05 mg/kg IV, IM, SQ) to decrease patient anxiety",0.001872537,0
3013,"Administer the anxiolytic tranquilizer acepromazine (0.02-0.05 mg/kg IV, IM, SQ) to decrease patient anxiety",0.0018616617,0
3342,"Aims: To investigate the expression of P2X7R, IL-1beta and ectoapyrase CD39 on peripheral blood monocytes of MS patients and to see whether Glatiramer Acetate (GA) therapeutic effects in MS may be possibly mediated by mechanisms interfering with the ATP/P2X7R interaction and hence with the induction of IL-1beta or with the ATP activity modulating CD39",0.008810842,0
3565,"All three cats were administered two doses of methylprednisolone acetate intramuscularly (10 mg/kg, Depo-Medrol, Pfizer AG, Zurich, Switzerland) in an attempt to immunocompromise the cats; Cats X and Y were injected 16 and 9 days prior to CMt inoculation, Cat Z was injected 8 and 1 days prior to CMt inoculation",0.020235563,1
3623,"Also, α-MSH has significant antipyretic effects, being more effective in controlling fever than acetaminophen when administered to human beings",0.0018848582,0
3671,"Alternative treatment options involve disease-modifying therapies such as, interferons, glatiramer acetate, monoclonal antibodies and sphingosine-1-phosphate receptor modulators (Table 1, Figure 2 )",0.0020785707,0
3692,"Although a major antiviral agent in the treatment of HCV infection, ribavirin has been used to treat many other viral infections (most notably, viral hemorrhagic fevers) with multiple proposed effects on virus replication and propagation",0.0021795377,0
3731,"Although currently available therapies include interferon variants, the approval of lamivudine in 1998 as the first nucleoside analogue effective on HBV infection was a significant advance",0.0017265019,0
3780,"Although itraconazole has previously been the drug of choice to treat DA, our findings show that combination therapy with terbinafine or newer anti-fungal treatment improves survival times",0.0020547581,0
3795,"Although many studies suggest systemic suppression of immunity takes place, which is mainly related to progesterone, this has not been proven",0.9689633,1
3918,"Although ribavirin has been used to treat CCHF, its efficacy and utility in clinical settings remain under debate, and no licensed vaccines or alternative therapeutic options are available to prevent disease or treat patients",0.97687405,0
4136,An antipyretic medication such as acetaminophen can then be administered,0.0015824686,0
4341,"Antibiotics (ampicillin, tetracycline and sulfa drugs) are available to treat COPD exacerbations in the tropics.",0.0019164298,0
4372,"Antibiotics were administered subcutaneously 2 h post-middle ear inoculation, and continued t.i.d for 24 h, with or without acetaminophen (AP), at 50 mg/kg, administered 30 min before each antibiotic dose",0.97878224,0
4377,"Antibody independent clearance of A-beta in a mouse model of Alzheimer's disease by activation of microglia via nasal vaccination Methods: Age-and sex-matched littermates (APP-J20 mice) received a weekly nasal treatment with Protollin (a proteosome-based adjuvant used in human influenza vaccination) 1 μg/treatment, plus glatiramer acetate (GA, an approved drug for MS) 25 μg/treatment, beginning at age 5 months and were treated for 8 months",0.011244927,0
4451,Antipyretics such as acetaminophen may be administered,0.0016900579,0
4533,"Application of parasiticides was not always recorded; 6/29 dogs (21%) did not receive regular treatment, 7/29 were treated regularly with isoxazoline systemic products (24%), 2/29 with fipronil-based spot-ons (7%) and 2/29 (7%) with collars (one flumethrin-based and one unrecorded brand).",0.984576,0
4547,"Approved MS therapeutics such as IFN-b and glatiramer acetate, and currently evaluated alemtuzumab potentiate the anti-inflammatory function of Treg cells in EAE and MS [98, 99] .",0.0021549454,0
4756,"As zinc salts (zinc acetate) are already used as therapeutics in humans, they could represent a promising drug for treatment of other viral infections.",0.0017623721,0
4770,Aspirin and acetaminophen suppress sero-neutralizing antibody response (p < 0.05) and are associated with increased nasal symptoms and signs,0.0016488102,1
4772,Aspirin and acetaminophen suppress the serum antibody response but increase nasal symptoms and signs,0.0015451419,1
4948,"At the University of California, Davis, from 1987 to 2002, 41 out of 44 foals (93%) with meconium impactions were successfully treated medically with acetylcysteine enemas",0.001933016,0
5378,"Both Polygonum multiflorum and Polygonum multiflorum Praeparata extracts (water-extracted, 15 g/kg/day, p.o., for 8 days) can be used to treat the hepatic lipid accumulation caused by prednisone acetate-, carbon tetrachloride-or thioacetamide-induced liver damage in mice (Liu et al., 1992) ",0.006857413,1
5409,"Briefly, female C57BL/6 mice were treated with 3 mg/ mouse of medroxyprogesterone acetate via subcutaneous injection",0.0017283749,0
5702,"Ceftiofur is also a good choice, and potentiated sulfonamides can be used for long-term therapy",0.0016764499,0
5790,Cells were transfected with and without pCMV-Sp1 or pCMV-Egr-1 for 48 hours and then treated with 100 ng/ml tetradecanoyl phorbol acetate (TPA) for 90 min except for the experiment in Fig,0.9804072,0
5849,Chemical means to treat POA can be by megestrol acetate which has been used to delay oestrus but there may be a risk of pyometra,0.0019266696,0
5893,Children aged 2-59 months with severe pneumonia should be treated with parenteral ampicillin (or penicillin) and gentamicin as a first-line treatment,0.0017773769,0
6100,"Clinically, immunomodulatory drugs, such as IFN-β, glatiramer acetate, and anti-very late antigen-4 antibody (Tysabri ® (natalizumab)), have been shown to suppress the disease activity of RRMS patients ",0.0028463844,0
6283,Combination therapy with tetracycline and folate seems to be most effective in symptom resolution and cure of diarrhea with promotion of weight gain,0.0020137643,0
6350,"Comparison of different monitoring methods in dogs with hypercortisolism treated with trilostane Over the last years, many different studies investigated possible alternative methods with conflicting results",0.001964925,0
6381,"Compounds such as sulfonylureas [4] , acarbose [5] , biguanides, thiazolidinediones [5] , and sitagliptin [3] have been used as effective drugs for diabetic therapy",0.0021155798,0
6418,"Conclusion: Patient knowledge of analgesic medications that contain acetaminophen and the maximum recommended daily dose is limited, which suggests the potential for errors in medication dosing when medications containing acetaminophen are prescribed for ED patients",0.003123974,0
6594,"Crystallized preparation of CS (Cs-Cr) could cause significant elevation of T helper cells and Lyt-1/Lyt-2 (T helper to T suppressor cell) ratio both in peripheral blood and the treated mice spleen and also could provide protection against immunosuppressive effects of prednisolone acetate and cyclophosphamide to T helper cells (Chen, Chen, Sun, Hsieh, & Henshall, 1991) ",0.016909903,1
6757,"CV Therapeutics, under license from Roche, is also developing ranolazine, a metabolic modulator and a partial fatty acid oxidation inhibitor, for the potential treatment of angina and acute coronary syndromes",0.0020708663,0
6951,"Determination of cholinesterase isozyme specificity (AChE versus butrylcholinesterase) and effects on amyloid-β aggregation for the sesquiterpene acetate [21, 22] , pyrrole derivative, PZT-compound, plastoquinones, and farnesylacetones classes of MM described in this article would provide an additional guide to development of novel compounds as therapies for Alzheimer's disease.",0.0102048535,0
7375,Effect of acetate Ringer ' s solution with or without 5% dextrose administered intravenously to diarrheic calves,0.9707291,0
7533,"Epidemiologic evidence suggests 3-methylindole, melengestrol acetate (fed to feedlot heifers to suppress estrus), high-energy diets, dusty environment, hot weather, and concurrent bacterial infection as possible causes or contributing factors",0.002384778,1
7583,"Estrus may be suppressed in beef heifers in a feedlot setting by the feeding of melengestrol acetate, a synthetic progestogen.",0.0017504442,0
7698,"Extrapulmonary infection is rare but has been associated with the use of prophylactic aerosolized pentamidine, which suppresses pulmonary disease but might allow for dissemination of the organism",0.0020316578,1
7780,Fever during pregnancy should be treated with acetaminophen due to the risk to the fetus,0.0016448096,0
7973,Flu-like symptoms can be treated with acetaminophen 500-1000 mg or ibuprofen 200-400 mg 30 minutes before IFN β-1a injection.,0.0018349565,0
8023,"Foals with Tyzzer's disease may be treated with any of a number of antimicrobials as the agent appears very susceptible to penicillin, gentamicin, tetracycline, and metronidazole.",0.0026651514,0
8034,"Following diagnosis, patients enter the DOTS program which prescribes short-course chemotherapy (SCC) comprising 2 months of isoniazid (H), rifampicin (R), pyrazinamide (Z) plus streptomycin (S) or ethambutol (E) followed by 4 months of H and R",0.004160412,0
8363,"For many years, the only approved therapies were combinations of interferon and ribavirin",0.0016237113,0
8713,"Further small doses of opioid analgesics (codeine, morphine, fentanyl) or acepromazine may be administered to maintain pain relief and limit anxiety and stress",0.0018817042,0
8856,"Gilead has several antiinfectious products on the market: * Emtricitabine, a nucleoside analog licensed from Emory University that is structurally related to 3TC for the treatment of HIV infection * Cidofovir, a specific nucleotide inhibitor of viral replication, which was launched in an injectable formulation in 1996 * Oseltamivir (Tamiflu: 5), a neuraminidase inhibitor, for the treatment and prevention of influenza virus type A or B infections * Tenofovir disoproxil fumarate (6), an oral prodrug of the intravenously administered antiviral agent tenofovir used for the treatment and prophylaxis of HIV infection * AmBisome, a liposomal formulation of amphotericin B, jointly developed by NeXstar and Lyphomed, marketed for systemic fungal infections and in the US for cancer and acquired immunodeficiency syndrome (AIDS) patients with blood-borne fungal infections * Adefovir dipivoxil, an analog of the reverse transcriptase inhibitor adefovir for the treatment of HBV infection",0.18084471,0
8903,Glatiramer acetate (Copaxone) therapy induces an oligoclonal CD8+ T cell response with cytotoxic ability R,0.0016609692,1
8904,"Glatiramer acetate (Copaxone) therapy restores regulatory, cytotoxic, HLA-E-restricted CD8 + T cells in multiple sclerosis One of the goals of successful therapeutic immune modulation of autoimmune disease is the induction of peripheral tolerance, a large part of which is mediated by regulatory/suppressor T cells",0.0031573842,0
8906,"Glatiramer acetate (GA, Copaxone) is an immunomodulatory MS therapy that is believed to mediate its effects through Th1 to Th2 immune deviation",0.0018143109,0
8909,Glatiramer acetate (GA; Copolymer-1; Copaxone ) is an FDA approved therapy for the treatment of RRMS,0.0016898223,0
8910,Glatiramer acetate (GA) therapy in multiple sclerosis (MS) is considered to lead to systemic alterations in circulating monocytes,0.0017519755,0
8912,Glatiramer acetate mediated immune modulation is driven by antigen presenting cells and is not T cell antigen specific Background: GA exerts therapeutic benefit in multiple sclerosis presumably by induction of GA-specific Th2-cells,0.97352624,0
8932,"Glucocorticoids with high mineralocorticoid activity, such as isoflupredone acetate used to treat ketosis, are a recognized cause of hypokalemic myopathy in cattle",0.0020728132,0
9144,"He was prescribed ribostamycin, acetaminophen, afloqualone, rebamipide, and streptokinase; however, the fever and myalgia persisted",0.0018853076,0
9209,"He was treated with levofloxacin 500 mg/day, ciprofloxacin eye drops, acetaminophen, and guaifenesin",0.0018242655,0
9213,"He was treated with orally administered levofloxacin 500 mg/day, ciprofloxacin eye drops, acetaminophen, and guaifenesin",0.0018638275,0
9236,"Heat cycle control with megestrol acetate (MA, 5 mg/cat PO every other week, in irregular intervals) was last administered 2 months earlier",0.0017107193,0
9258,"Hematomas, bruising, and soreness can usually be treated with compresses and acetaminophen",0.001645494,0
9335,"Hexane, ethyl acetate and methanol extracts of Polygonum multiflorum (100 mg/kg) were administered i.p",0.0017449387,0
9428,"Horse W was ultimately diagnosed with enterolithiasis and Horse F was treated with broad-spectrum antimicrobials throughout the study period (Penicilin G Potassium 22,000 IU/kg intravenously every 6 hours, Pfizerpen, Pfizer, New York, NY; Enrofloxacin 7.5 mg/kg intravenously every 24 hours, Baytril 100, Bayer, Shawnee KS) beginning 4 hours prior to first sampling and FMT",0.05720315,0
9603,Hp seems to be the best parameter to monitor trilostane therapy.,0.0016617624,0
9640,"Human chorionic gonadotropin (100 IU) Medroxyprogesterone (15 mg) Proligestone (40 mg) Gonadotropin-releasing hormone (GnRH; 20 mg/kg) Long-term depot GnRH agonists (4.7 mg deslorelin acetate [Suprelorin, Virbac]) Hyperestrogenism from adrenal hyperplasia or neoplasia Current therapies for adrenal disease in ferrets include medical and/or surgical treatment",0.009639692,0
9647,"Human volunteers challenged with RV showed increased nasal symptoms and a suppressed serum neutralizing antibody response when treated with aspirin or acetaminophen, suggesting a protective role for COX products in reducing symptoms and promoting an antibody response [153] ",0.0019206154,1
9664,Hydrocortisone was administered intravenously (50 mg) as well as oral acetaminophen and normal saline hydration,0.0016698891,0
9845,"If o-penicillamine is not tolerated, another copper chelator, 2,3,2-trientine, administered at 10 to 15 mg/kg orally one to two times daily or zinc acetate administered at 50 to 200 mg orally once a day, decreases intestinal absorption of copper and may be used",0.982027,0
9881,"If systemic blood pressure does not normalize in the face of a maximum or high CVP (>10 cm H 2 O), dobutamine should be administered as a β-agonist inotrope (2 to 20 μg/kg/ minute)",0.98370945,0
10004,"Immunized rats were administered either 1 mg/kg abatacept or a control human IgG IP on days -1, 0, 2, 4, 6, 8 and 10 ",0.0018781627,0
10105,"In a few patients anemia may respond to folic acid, vitamin B12 or testosterone, but in most it is refractory and must be managed by transfusion.",0.0020621223,0
10304,"In addition, 50 mg of flunixin meglumine was given intravenously and a DSS and water enema was administered",0.0018541173,0
10405,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3−5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",0.98298335,0
10421,"In all the dogs treated only with Prednisolone, despite the clinical improvement, there were constant relapses",0.0019389365,0
10526,"In certain reports, the inhibition of NF-κB shows anti-HCV activity: for example, the Acacia confusa (61) and San-Huang-Xie-Xin-Tang extracts (62) suppress HCV replication associated with NF-κB inhibition",0.0037456288,0
10528,"In children, the convalescent phase can be associated with Reye syndrome (microvesicular steatosis, hyperammonemia, coagulopathy, and cerebral edema), particularly if aspirin has been administered",0.0020022287,1
10586,"In contrast to many STDs, however, these ectoparasites can be easily treated with topical medications such as lindane or permethrin",0.0019503336,0
10712,"In humans with diabetes mellitus (DM), adding a glucagon-like peptide-1 (GLP-1) analogue to the conventional therapy results in significant reduction in GV",0.001755826,0
10898,"In particular, immune-modulatory therapies, such as IFN-β, glatiramer acetate or teriflunomide, could impact the low circulating level of Tα1 and/or Tβ4 in MS patients",0.0023040178,0
11005,"In severe pneumonia in hospitalized children, the policy in low-income countries is to first give benzylpenicillin injections, changing the therapy to oral amoxicillin when the child responds",0.0019071492,0
11027,"In subjects with fever or pain, acetaminophen therapy was permitted",0.0015019615,0
11066,"In summary, veterinarians need only four types of intravenous solutions for treating calves: acetated Ringer's, isotonic sodium bicarbonate, hypertonic saline, and dextrose solution",0.0022536565,0
11153,"In the fall of 2011, by monitoring the increase in the number of combination cold medications (active ingredients: salicylamide, acetaminophen, anhydrous caffeine, and promethazine methylene disalicylate) prescribed since 2009, the prescription surveillance system detected an increase in the number of patients with symptoms of upper respiratory tract infections",0.004006018,0
11204,"In the past, injection of cortisone to suppress the immune system was recommended",0.0016414695,0
11289,"In these two studies, commonly-used drug compounds, Acetaminophen (Rat2) and 1,4-dichlorobenzene (Rat3) respectively, were administered for 6, 24, or 48 consecutive hrs at different dose concentrations to evaluate the levels of acute toxicity of in vivo animals",0.0031515532,1
11291,"In this book, we intend to provide an overview of these different therapeutic nanoparticles, the challenges Examples of nanoparticulate carriers targeted to the lung (modifi ed from [107] [108] [109] Amphotericin B Phospholipid and apolipoprotein Lung infection [114] Amiloride hydrochloride Liposome Cystic fi brosis [108] Secretory leukocyte protease inhibitor Liposome Cystic fi brosis [115] Interleukin-4 antisense oligodeoxynucleotides Polymeric nanoparticle Asthma [116] Vasoactive intestinal peptide Protamine nanoparticle Asthma [117] Indomethacin, ketoprofen Solid Lipid nanoparticles Asthma [108] Antisense oligonucleotide 2'-O-methyl-RNA PLGA nanoparticles Lung cancer [118] Leuprolide Liposome Lung cancer [108] HLA-A*0201-restricted T-cell epitopes from Mycobacterium tuberculosis Chitosan nanoparticles Tuberculosis [119] V1Jns plasmid encoding antigen 85B from M",0.27261323,0
11503,"Indeed, we found synergy between MTA and Glatiramer acetate, since suboptimal dosage combination of both drugs efficiently suppressed the disease",0.0017528023,0
11536,"Infants with apnea were significantly less likely to have been exposed to several therapeutic agents (antibiotics, acetaminophen, and bronchodilators) during the week before admission and were less likely to have attended day care (Table 1) ",0.0024818375,0
11832,Intravenous Ringer acetate was administered at 20 mL kg À1 hour À1 during anaesthesia,0.00166553,0
11985,It is demonstrated that glucorticoids at clinical dosages (5 mg/kg body weight of methylprednisolone acetate administered intramuscularly weekly) for 4 weeks did not induce oocysts shedding in cats recently or chronically experimentally infected with T gondii,0.9829915,0
11996,It is interesting to note that this study demonstrated a differential effect of treating the OLN-93 cells with two drugs prescribed as therapy for multiple sclerosis: a glucocorticoid (inhibited nitric oxide production) and Glatiramer Acetate (no effect on nitric oxide production) [12] .,0.6722746,0
12020,It is preferable to treat most patients with penicillin or amoxicillin whenever symptomatic GAS pharyngitis occurs,0.015800245,0
12267,Ledbetter and colleagues 15 also administered topical ocular prednisolone acetate or a placebo to mature dogs experimentally inoculated with CHV via the ocular route and previously tested for reactivatable latency by systemic administration of an immunosuppressive dose of corticosteroids,0.0034111058,0
12304,"Like condyloma acuminatum, however, MC can be treated with cytodestructive therapy, surgery, or imiquimod.",0.0018882962,0
12314,"Like the spontaneous condition, these changes were characterized by thickening of the mucosa by hyperplasia of the foveolar and neck regions, and downward proliferation of glandular elements into gastric glands.^^^ Similar glandular hyperplasia in the mouse stomach alongside neuroendocrine alterations has been associated with histamine H2 blockade with the agent ioxtidine.^^^ Adenomatous polyps have also been reported in the pyloric antrum of C57B1/10J mice treated for 52 weeks with the synthetic progestin, cyproterone acetate.^^^ These were single, pedunculated and well-differentiated lesions showing little evidence of dysplasia",0.0418688,1
12459,"Macaques were infected with 7 × 10 6 TCID 50 of MERS-CoV and, 8 h after infection, they were treated with substantial amounts of subcutaneous IFN-␣2b along with intravenous ribavirin, followed by ribavirin doses intramuscularly every 8 h and with IFN-␣2b every 16 h until 72 h after infection ",0.009376105,0
12630,"Megestrol acetate (Ovaban, Intervet/ Schering-Plough Animal Health [Summit, NJ] and others) is effective for suppressing estrus in queens when given orally, starting in anestrus (2.5 to 5 mg/cat once daily for 5 days, then once weekly)",0.0031729105,0
12633,"Megestrol acetate is an orally administered, synthetic, progestational agent initially used to increase the appetite of patients with cancer",0.0016223445,0
12636,"Melengestrol acetate (MGA), a feed additive commonly fed to feedlot heifers to suppress estrus, has been associated with AIP based on epidemiologic evidence",0.0018980381,1
12737,Methylprednisolone acetate (5 mg/kg) was administered twice intramuscularly at a 3-week interval to 10 randomly selected cats from the project; eight cohort cats were given saline (Table 1 ),0.0020720903,0
12776,"Metronidazole is frequently prescribed, however there is no evidence supporting its use, which could actually be associated with concerning gastrointestinal dysbiosis",0.97664124,1
12783,"Metronidazole, administered orally or intravenously (10 to 15 mg/kg, q 8 to 12 h), is indicated in clostridiosis cases",0.0017893184,0
12868,Mild fever may be treated with acetaminophen for few days.,0.0016801346,0
12869,"Mild or classic dengue is treated with antipyretic agents such as acetaminophen, bed rest, and fluid replacement (usually administered orally and only rarely parenterally)",0.0021997865,0
12960,"More importantly, EAE has led directly to the development of three therapies approved for use in MS: glatiramer acetate (copaxone), mitoxantrone, and natalizumab [103] ",0.0021076752,0
12978,"More recently (in December 2013), the HCV RNA polymerase inhibitor, sofosbuvir, received approval after showing that it could cure HCV infection in at least 90% of the treated patients, if properly combined with ribavirin or other more recently approved directly acting agents.",0.0028547659,0
