,Unnamed: 0,sha,drug,section,doi,title,year,sentence,posssible_hedge,corona_paper,corona_block,Is_Negated,Is_Negated_Orig,Unnamed: 13,annotation_expert_1,Treatment
21,21,0036b28fddf7e93da0970303672934ea2f9944e7,terbinafine,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Although itraconazole has previously been the drug of choice to treat DA, our findings show that combination therapy with terbinafine or newer anti-fungal treatment improves survival times",,False,False,0,0,0,0.0,therapy
22,22,0036b28fddf7e93da0970303672934ea2f9944e7,terbinafine,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Although itraconazole has previously been the drug of choice to treat DA, our findings show that combination therapy with terbinafine or newer anti-fungal treatment improves survival times",,False,False,0,0,0,0.0,therapy
23,23,0036b28fddf7e93da0970303672934ea2f9944e7,chlorpheniramine,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Premedication with intramuscular chlorpheniramine was administered, and 1-2 mL of sulfure hexafluoride microbubbles (SonoVueâ„¢) was injected around the tumour, followed by a local massage",,False,False,0,0,0,0.0,administered
24,24,0036b28fddf7e93da0970303672934ea2f9944e7,pimobendan,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"The following day, each cat received an echocardiography before (time 0), and 1, 3, and 6 hours after a single dose of 1.25 mg of pimobendan administered orally.",,False,False,0,0,0,0.0,administer
25,25,0036b28fddf7e93da0970303672934ea2f9944e7,clotrimazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,Sharp grade score can be used to predict treatment outcome in dogs treated with one hour 1% clotrimazole perendoscopic infusion,,False,False,0,0,0,0.0,treated
26,26,0036b28fddf7e93da0970303672934ea2f9944e7,trilostane,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,Hp seems to be the best parameter to monitor trilostane therapy.,,False,False,0,0,0,0.0,therapy
28,28,0036b28fddf7e93da0970303672934ea2f9944e7,exenatide,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,The objective of this study was to evaluate GV in cats receiving the GLP-1 analogue exenatide extended-release (EER) additionally to insulin therapy,,False,False,0,0,0,0.0,therapy
29,29,0036b28fddf7e93da0970303672934ea2f9944e7,glucagon,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"In humans with diabetes mellitus (DM), adding a glucagon-like peptide-1 (GLP-1) analogue to the conventional therapy results in significant reduction in GV",,False,False,0,0,0,0.0,therapy
30,31,0036b28fddf7e93da0970303672934ea2f9944e7,prednisolone,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Twelve out of 14 cats (85.7%) developed GIH or GIDM within 3 months after the initiation of prednisolone therapy, the remaining two cats developed GIDM after 27 and 32 months",,False,False,0,0,0,1.0,therapy
31,32,0036b28fddf7e93da0970303672934ea2f9944e7,metronidazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Metronidazole is frequently prescribed, however there is no evidence supporting its use, which could actually be associated with concerning gastrointestinal dysbiosis",,False,False,1,1,0,1.0,prescribe
32,33,0036b28fddf7e93da0970303672934ea2f9944e7,torasemide,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,The case records of cats treated with torasemide were reviewed,,False,False,0,0,0,0.0,treated
33,34,0036b28fddf7e93da0970303672934ea2f9944e7,itraconazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,The daily hazard of death from DA for dogs treated with itraconazole was 5.7 (95% CI 1.7 to 19) times that of dogs that were treated with other anti-fungal treatment,,False,False,0,0,0,1.0,treated
34,35,0036b28fddf7e93da0970303672934ea2f9944e7,terbinafine,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,The daily hazard of death from DA for dogs treated with terbinafine was 0.21 (95% CI 0.05 to 0.97) times that of dogs that were not treated with terbinafine.,,False,False,1,1,0,0.0,treated
35,36,0036b28fddf7e93da0970303672934ea2f9944e7,prednisolone,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"Patients were excluded if they received any other chemotherapeutic medication during this time, oral prednisolone therapy was permitted.",,False,False,1,1,0,0.0,therapy
36,37,0036b28fddf7e93da0970303672934ea2f9944e7,torasemide,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"This case series illustrates the therapeutic interest of torasemide in cats, which needs to be confirmed by further prospective clinical trials.",,False,False,0,0,0,0.0,therapeutic
37,38,0036b28fddf7e93da0970303672934ea2f9944e7,itraconazole,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,Twenty-four dogs (89%) were treated with itraconazole as first-line treatment (single agent in 12 dogs),,False,False,0,0,0,0.0,treated
38,39,0036b28fddf7e93da0970303672934ea2f9944e7,terbinafine,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,A total of nine dogs (33%) were treated concurrently with terbinafine,,False,False,0,0,0,0.0,treated
39,40,0036b28fddf7e93da0970303672934ea2f9944e7,prednisolone,body,10.1111/jvim.15658,Research Communications of the 29th ECVIMâ€CA Congress,2019.0,"In all the dogs treated only with Prednisolone, despite the clinical improvement, there were constant relapses",,False,False,0,0,0,0.0,treated
40,41,0036e8891c93ae63611bde179ada1e03e8577dea,ribavirin,body,10.1128/mbio.01065-19,Stable Occupancy of the Crimean-Congo Hemorrhagic Fever Virus-Encoded Deubiquitinase Blocks Viral Infection,2019.0,"Although ribavirin has been used to treat CCHF, its efficacy and utility in clinical settings remain under debate, and no licensed vaccines or alternative therapeutic options are available to prevent disease or treat patients",potential,True,False,1,1,0,0.0,treat
41,42,0036e8891c93ae63611bde179ada1e03e8577dea,ribavirin,body,10.1128/mbio.01065-19,Stable Occupancy of the Crimean-Congo Hemorrhagic Fever Virus-Encoded Deubiquitinase Blocks Viral Infection,2019.0,"Although ribavirin has been used to treat CCHF, its efficacy and utility in clinical settings remain under debate, and no licensed vaccines or alternative therapeutic options are available to prevent disease or treat patients",potential,True,False,1,1,0,0.0,treat
42,43,0036e8891c93ae63611bde179ada1e03e8577dea,ribavirin,body,10.1128/mbio.01065-19,Stable Occupancy of the Crimean-Congo Hemorrhagic Fever Virus-Encoded Deubiquitinase Blocks Viral Infection,2019.0,"Although ribavirin has been used to treat CCHF, its efficacy and utility in clinical settings remain under debate, and no licensed vaccines or alternative therapeutic options are available to prevent disease or treat patients",potential,True,False,1,1,0,0.0,treat
43,44,0043d044273b8eb1585d3a66061e9b4e03edc062,ethambutol,body,10.1186/1471-2458-12-1110,"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the Peopleâ€™s Republic of China: a retrospective case study",2012.0,"Following diagnosis, patients enter the DOTS program which prescribes short-course chemotherapy (SCC) comprising 2 months of isoniazid (H), rifampicin (R), pyrazinamide (Z) plus streptomycin (S) or ethambutol (E) followed by 4 months of H and R",,False,False,0,0,0,0.0,prescribes
44,45,0043d044273b8eb1585d3a66061e9b4e03edc062,isoniazid,body,10.1186/1471-2458-12-1110,"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the Peopleâ€™s Republic of China: a retrospective case study",2012.0,"Following diagnosis, patients enter the DOTS program which prescribes short-course chemotherapy (SCC) comprising 2 months of isoniazid (H), rifampicin (R), pyrazinamide (Z) plus streptomycin (S) or ethambutol (E) followed by 4 months of H and R",,False,False,0,0,0,0.0,prescribes
45,46,0043d044273b8eb1585d3a66061e9b4e03edc062,pyrazinamide,body,10.1186/1471-2458-12-1110,"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the Peopleâ€™s Republic of China: a retrospective case study",2012.0,"Following diagnosis, patients enter the DOTS program which prescribes short-course chemotherapy (SCC) comprising 2 months of isoniazid (H), rifampicin (R), pyrazinamide (Z) plus streptomycin (S) or ethambutol (E) followed by 4 months of H and R",,False,False,0,0,0,0.0,prescribes
46,47,0043d044273b8eb1585d3a66061e9b4e03edc062,rifampicin,body,10.1186/1471-2458-12-1110,"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the Peopleâ€™s Republic of China: a retrospective case study",2012.0,"Following diagnosis, patients enter the DOTS program which prescribes short-course chemotherapy (SCC) comprising 2 months of isoniazid (H), rifampicin (R), pyrazinamide (Z) plus streptomycin (S) or ethambutol (E) followed by 4 months of H and R",,False,False,0,0,0,0.0,prescribes
47,48,0043d044273b8eb1585d3a66061e9b4e03edc062,streptomycin,body,10.1186/1471-2458-12-1110,"Evaluation of the tuberculosis programme in Ningxia Hui Autonomous region, the Peopleâ€™s Republic of China: a retrospective case study",2012.0,"Following diagnosis, patients enter the DOTS program which prescribes short-course chemotherapy (SCC) comprising 2 months of isoniazid (H), rifampicin (R), pyrazinamide (Z) plus streptomycin (S) or ethambutol (E) followed by 4 months of H and R",,False,False,0,0,0,0.0,prescribes
49,50,007218eeeec5a82f0b40e97fb4133f29b03fc7bb,tamiflu,body,10.2217/fvl.09.53,Is systems biology the key to preventing the next pandemic?,2009.0,The effectiveness of targeted Tamiflu treatment and prophylactic measures in containing emerging influenza viruses is largely overestimated owing to differences in patient response to drug treatment and diminished drug efficacy against escape mutants that arise in response to therapy,,True,False,0,0,0,0.0,effectiveness
52,54,009fae49cceff4f95c97b252a02d4fb85fa05296,ampicillin,body,10.1016/b978-0-323-55512-8.00001-6,1 Tropical Lung Diseases,2020.0,Children aged 2-59 months with severe pneumonia should be treated with parenteral ampicillin (or penicillin) and gentamicin as a first-line treatment,,False,False,0,0,0,0.0,treated
53,55,009fae49cceff4f95c97b252a02d4fb85fa05296,gentamicin,body,10.1016/b978-0-323-55512-8.00001-6,1 Tropical Lung Diseases,2020.0,Children aged 2-59 months with severe pneumonia should be treated with parenteral ampicillin (or penicillin) and gentamicin as a first-line treatment,,False,False,0,0,0,0.0,treated
54,56,00a0ab182dc01b6c2e737dfae585f050dcf9a7a5,ribavirin,body,10.1016/j.virusres.2015.01.021,Middle East respiratory syndrome: An emerging coronavirus infection tracked by the crowd,2015.0,"Macaques were infected with 7 Ã— 10 6 TCID 50 of MERS-CoV and, 8 h after infection, they were treated with substantial amounts of subcutaneous IFN-â£2b along with intravenous ribavirin, followed by ribavirin doses intramuscularly every 8 h and with IFN-â£2b every 16 h until 72 h after infection ",,True,True,0,0,0,0.0,treated
57,59,00aa9cbf61505e3fa77ef009eafe04300a5c39b2,ribavirin,body,10.1016/s0140-6736(13)62707-5,Current status of rabies and prospects for elimination,2014.0,"94, 95 One individual who survived without post-exposure prophylaxis did so after the administration of an aggressive combination of medical treatments including the induction of a therapeutic coma, combined with ribavirin, ketamine, and amantadine treatment",,False,False,1,1,0,0.0,treatment
98,104,0110275ca0d02bc34fdda42fa1a9810dd11cd962,chloroquine,abstract,10.1016/j.drudis.2013.05.002,Chikungunya virus: an update on antiviral development and challenges,2013.0,Potential therapeutics that have been reported to show anti-CHIKV activity in vitro range from known broadspectrum antivirals like chloroquine to novel strategies involving RNA silencing technology,,True,False,0,0,0,0.0,therapeutic
118,126,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,ampicillin,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administered
119,127,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,ampicillin,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administered
120,128,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,ampicillin,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administered
121,129,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,ampicillin,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administered
122,130,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,dexamethasone,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administration
123,131,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,dexamethasone,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administration
124,132,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,dexamethasone,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administration
125,133,0167dddb0e2783a60841b8e6f2b4e4cb981904e2,dexamethasone,body,10.1292/jvms.14-0460,Three cases of idiopathic eosinophilic enteritis with chronic obstinate diarrhea in Japanese Black fattening cattle,2014.0,"In all cases, although therapeutic interventions consisting mainly of antibiotics, antidiarrheal drugs and vermicides administered when the diarrhea was observed had no therapeutic effect, the administration of dexamethasone (3âˆ’5 mg/head mixed with ampicillin and administered by intramuscular injection daily for 3 days) temporarily improved the fecal characteristics for a period of several days",,False,False,1,1,0,0.0,administration
266,288,02f57630fce1bd9a089b9f5b4689a4ef2a5810f3,acarbose,body,10.1016/b978-072160561-6.50021-6,Chapter 18 Ocular Manifestations of Systemic Diseases,2008.0,Acarbose may be used in diabetic animals whose glucose concentration is poorly controlled despite insulin therapy and dietary modification,may,True,True,0,0,0,0.0,therapy
324,350,0412cc57b0d374d1a4d059186745979429811050,progesterone,body,10.1016/s1473-3099(15)00524-1,Subacute sclerosing panencephalitis in pregnancy,2016.0,"Although many studies suggest systemic suppression of immunity takes place, which is mainly related to progesterone, this has not been proven",potential,False,False,1,1,0,1.0,supression
368,396,04c235b0224fdc67f03658734ae190aa76adcdde,acetate,body,10.1016/j.jfms.2010.01.014,Pituitary-dependent hyperadrenocorticism and generalised toxoplasmosis in a cat with neurological signs,2010.0,It is demonstrated that glucorticoids at clinical dosages (5 mg/kg body weight of methylprednisolone acetate administered intramuscularly weekly) for 4 weeks did not induce oocysts shedding in cats recently or chronically experimentally infected with T gondii,may,True,True,1,1,0,0.0,administer
451,489,05fef4a975bb02a917f4cef9ea57a3440769e9fb,acetate,body,10.1016/b978-1-4557-7397-8.00061-x,Chapter 61 Giraffidae,2015.0,"5 For contraception in females, melengestrol acetate (2-3 mg/kg/ day) administered in the feed, or the progesterone-derivative medroxyprogesterone acetate (Depo-Provera, Pfizer Animal Health), (450-800 mg/female, every 6 weeks) have been the traditional pharmaceutical means of contraception; however, the gonadotropinreleasing hormone (GnRH) agonist deslorelin (Suprelorin, Peptech Animal Health/Virbac) administered as implants has recently proven to be superior and effective for more than a year",,True,True,0,0,0,0.0,administered
546,608,07899a6af647ba443bf04599aa35d111d0d08cb3,acetate,body,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"Alternative treatment options involve disease-modifying therapies such as, interferons, glatiramer acetate, monoclonal antibodies and sphingosine-1-phosphate receptor modulators (Table 1, Figure 2 )",,False,False,0,0,0,0.0,therapies
547,609,07899a6af647ba443bf04599aa35d111d0d08cb3,glatiramer,body,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"Alternative treatment options involve disease-modifying therapies such as, interferons, glatiramer acetate, monoclonal antibodies and sphingosine-1-phosphate receptor modulators (Table 1, Figure 2 )",,False,False,0,0,0,0.0,therapies
548,610,07899a6af647ba443bf04599aa35d111d0d08cb3,acetate,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,The most common injectable disease-modifying therapies in RRMS include Î²-interferons 1a or 1b and glatiramer acetate,,False,False,0,0,0,0.0,effectiveness
549,611,07899a6af647ba443bf04599aa35d111d0d08cb3,alemtuzumab,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"We present current disease-modifying therapies (interferons, glatiramer acetate, dimethyl fumarate, teriflunomide, fingolimod, mitoxantrone), humanized monoclonal antibodies (natalizumab, ofatumumab, ocrelizumab, alemtuzumab, daclizumab) and emerging immune modulating approaches (stem cells, DNA vaccines, nanoparticles, altered peptide ligands) for the treatment of MS.",,False,False,0,0,0,0.0,treatment
550,612,07899a6af647ba443bf04599aa35d111d0d08cb3,fingolimod,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"We present current disease-modifying therapies (interferons, glatiramer acetate, dimethyl fumarate, teriflunomide, fingolimod, mitoxantrone), humanized monoclonal antibodies (natalizumab, ofatumumab, ocrelizumab, alemtuzumab, daclizumab) and emerging immune modulating approaches (stem cells, DNA vaccines, nanoparticles, altered peptide ligands) for the treatment of MS.",,False,False,0,0,0,0.0,treatment
551,613,07899a6af647ba443bf04599aa35d111d0d08cb3,glatiramer,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,The most common injectable disease-modifying therapies in RRMS include Î²-interferons 1a or 1b and glatiramer acetate,,False,False,0,0,0,0.0,therapies
552,614,07899a6af647ba443bf04599aa35d111d0d08cb3,mitoxantrone,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"We present current disease-modifying therapies (interferons, glatiramer acetate, dimethyl fumarate, teriflunomide, fingolimod, mitoxantrone), humanized monoclonal antibodies (natalizumab, ofatumumab, ocrelizumab, alemtuzumab, daclizumab) and emerging immune modulating approaches (stem cells, DNA vaccines, nanoparticles, altered peptide ligands) for the treatment of MS.",,False,False,0,0,0,0.0,treatment
553,615,07899a6af647ba443bf04599aa35d111d0d08cb3,ocrelizumab,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"We present current disease-modifying therapies (interferons, glatiramer acetate, dimethyl fumarate, teriflunomide, fingolimod, mitoxantrone), humanized monoclonal antibodies (natalizumab, ofatumumab, ocrelizumab, alemtuzumab, daclizumab) and emerging immune modulating approaches (stem cells, DNA vaccines, nanoparticles, altered peptide ligands) for the treatment of MS.",,False,False,0,0,0,0.0,treatment
554,616,07899a6af647ba443bf04599aa35d111d0d08cb3,ofatumumab,abstract,10.3390/brainsci7070078,Multiple Sclerosis: Immunopathology and Treatment Update,2017.0,"We present current disease-modifying therapies (interferons, glatiramer acetate, dimethyl fumarate, teriflunomide, fingolimod, mitoxantrone), humanized monoclonal antibodies (natalizumab, ofatumumab, ocrelizumab, alemtuzumab, daclizumab) and emerging immune modulating approaches (stem cells, DNA vaccines, nanoparticles, altered peptide ligands) for the treatment of MS.",,False,False,0,0,0,0.0,treatment
